ошибка получения данных о процессе Idle: Отказано в доступе.
ID: 4112, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:11.4375000
ID: 4204, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.2187500
ID: 4220, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.1718750
ID: 4656, имя: AsusSoftwareManager, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.4062500
ID: 4664, имя: armsvc, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.0468750
ID: 4672, имя: AsusSwitch, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.0156250
ID: 4692, имя: DAX3API, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:01.2968750
ID: 4700, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:12.1875000
ID: 4708, имя: AsusNumPadService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.1875000
ID: 4720, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:35.1562500
ID: 4732, имя: AsusSystemDiagnosis, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.1250000
ID: 4744, имя: ipfsvc, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.1406250
ID: 4752, имя: OneApp.IGCC.WinService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:02.7968750
ID: 4772, имя: AsusAppService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:01.8437500
ID: 4788, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.8437500
ID: 4796, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:03.0468750
ID: 4804, имя: RtkAudUService64, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:03.3281250
ID: 4820, имя: IntelAnalyticsService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:10.8281250
ID: 4828, имя: shareitservice, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:20.6093750
ID: 4844, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:18:47.4843750
ID: 4860, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:03.5312500
ID: 4872, имя: AsusSystemAnalysis, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:01.3281250
ID: 4880, имя: IntelAudioService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:01.2500000
ID: 4900, имя: RstMwService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.2343750
ID: 4916, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.2968750
ID: 4924, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:04.8281250
ID: 4932, имя: jhi_service, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.0156250
ID: 4940, имя: TunnelBear.Maintenance, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:01.1250000
ID: 4948, имя: unchecky_svc, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:22.9062500
ID: 4956, имя: WMIRegistrationService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.1875000
ID: 5000, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:02.1718750
ID: 5008, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.6875000
ID: 5048, имя: ipf_uf, приоритет: 13, состояние: True, запуск: 30.12.2024 11:10:53, время CPU: 00:00:00.1093750
ID: 5212, имя: IntelConnectivityNetworkService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:54, время CPU: 00:02:07.2031250
ID: 5756, имя: RtkAudUService64, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:54, время CPU: 00:00:00.9843750
ID: 5060, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:54, время CPU: 00:00:00.3750000
ID: 5768, имя: IDBWMService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:54, время CPU: 00:00:00.5000000
ID: 5864, имя: IntelConnectService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:54, время CPU: 00:00:00.3593750
ID: 6528, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:54, время CPU: 00:00:02.3750000
ID: 7444, имя: conhost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:56, время CPU: 00:00:02.9218750
ID: 7452, имя: conhost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:56, время CPU: 00:00:01.2968750
ID: 7644, имя: IntelConnect, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:57, время CPU: 00:01:10.9843750
ID: 7696, имя: IDBWM, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:57, время CPU: 00:00:56.7187500
ID: 7732, имя: WmiPrvSE, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:57, время CPU: 00:00:01.4375000
ID: 7752, имя: WmiPrvSE, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:57, время CPU: 00:21:51.5625000
ID: 5644, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:58, время CPU: 00:00:04.7656250
ID: 4628, имя: AggregatorHost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:59, время CPU: 00:00:00.5468750
ID: 9412, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:59, время CPU: 00:00:01.9687500
ID: 9496, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:59, время CPU: 00:00:00.2500000
ID: 10224, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:59, время CPU: 00:00:00.6562500
ID: 9796, имя: QHWatchdog, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:59, время CPU: 00:00:00.3281250
ID: 4076, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:01, время CPU: 00:00:00.6250000
ID: 10804, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:01, время CPU: 00:00:01.1093750
ID: 6752, имя: SearchIndexer, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:02, время CPU: 00:00:06.4843750
ID: 11988, имя: SecurityHealthService, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:03, время CPU: 00:00:01.5781250
ID: 12144, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:16, время CPU: 00:00:01.9375000
ID: 1384, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:24, время CPU: 00:00:00.0156250
ID: 13212, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:24, время CPU: 00:00:00.3906250
ID: 16420, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:11:32, время CPU: 00:00:01.6250000
