Процесс 0 (Idle) вызвал ошибку: Отказано в доступе.
ID: 4116, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:02:22.7968750
ID: 4188, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:01.8437500
ID: 4212, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:05.7968750
ID: 4640, Имя: armsvc, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.0312500
ID: 4652, Имя: AsusAppService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:10.0781250
ID: 4660, Имя: AsusSwitch, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.0468750
ID: 4668, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:01:51.7656250
ID: 4676, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 01:46:41.7968750
ID: 4684, Имя: AsusNumPadService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:01.5468750
ID: 4692, Имя: AsusSystemAnalysis, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:04.3125000
ID: 4708, Имя: OneApp.IGCC.WinService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:17.1250000
ID: 4720, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:03.8593750
ID: 4728, Имя: DAX3API, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:03.1250000
ID: 4744, Имя: AsusSystemDiagnosis, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.1250000
ID: 4752, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:01:19.7343750
ID: 4760, Имя: AsusSoftwareManager, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.9531250
ID: 4796, Имя: IntelAnalyticsService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:01:50.3750000
ID: 4808, Имя: jhi_service, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.0937500
ID: 4816, Имя: RstMwService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.2187500
ID: 4828, Имя: RtkAudUService64, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:10.3281250
ID: 4848, Имя: shareitservice, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:02:32.8437500
ID: 4852, Имя: IntelAudioService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:02.2500000
ID: 4876, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:32.4062500
ID: 4896, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:16
ID: 4924, Имя: unchecky_svc, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:03:05.6718750
ID: 4960, Имя: WMIRegistrationService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.2031250
ID: 4968, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 02:50:03.7812500
ID: 4976, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:40.2500000
ID: 4984, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:23.6562500
ID: 5008, Имя: ipf_uf, Приоритет: 13, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:00.5937500
ID: 5020, Имя: TunnelBear.Maintenance, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:15:01.8437500
ID: 5052, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:03.3906250
ID: 5388, Имя: IntelConnectivityNetworkService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:18:34.5312500
ID: 5440, Имя: IDBWMService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:04.8906250
ID: 5400, Имя: RtkAudUService64, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:02.9531250
ID: 5924, Имя: IntelConnectService, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:03.4375000
ID: 6372, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:01.4687500
ID: 6792, Имя: conhost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:15.5625000
ID: 6848, Имя: conhost, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:00:28.4531250
ID: 7128, Имя: IDBWM, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:08:58.7656250
ID: 7136, Имя: IntelConnect, Приоритет: 8, Время начала: 05.01.2025 13:12:20, Сколько времени использовался: 00:16:59.8750000
ID: 7552, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:21, Сколько времени использовался: 00:00:09.7343750
ID: 7612, Имя: WmiPrvSE, Приоритет: 8, Время начала: 05.01.2025 13:12:21, Сколько времени использовался: 04:18:37.9843750
ID: 7664, Имя: WmiPrvSE, Приоритет: 8, Время начала: 05.01.2025 13:12:21, Сколько времени использовался: 00:00:35.3281250
ID: 9168, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:22, Сколько времени использовался: 00:00:25.5468750
ID: 8848, Имя: AggregatorHost, Приоритет: 8, Время начала: 05.01.2025 13:12:23, Сколько времени использовался: 00:00:02.6250000
ID: 9264, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:23, Сколько времени использовался: 00:00:24.7656250
ID: 10088, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:23, Сколько времени использовался: 00:00:02.5625000
ID: 2020, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:24, Сколько времени использовался: 00:00:09.0625000
ID: 11168, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:26, Сколько времени использовался: 00:00:04.8593750
ID: 11640, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:28, Сколько времени использовался: 00:00:10.4531250
ID: 11804, Имя: SearchIndexer, Приоритет: 8, Время начала: 05.01.2025 13:12:28, Сколько времени использовался: 00:00:55.2187500
ID: 12192, Имя: SecurityHealthService, Приоритет: 8, Время начала: 05.01.2025 13:12:30, Сколько времени использовался: 00:00:12.0156250
ID: 12668, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:13:39, Сколько времени использовался: 00:00:18.1093750
ID: 12336, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:14:23, Сколько времени использовался: 00:01:21.0937500
ID: 2580, Имя: unsecapp, Приоритет: 8, Время начала: 05.01.2025 13:14:23, Сколько времени использовался: 00:00:01.3906250
ID: 3668, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:14:23, Сколько времени использовался: 00:00:01
ID: 14156, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:14:23, Сколько времени использовался: 00:00:04.7812500
ID: 5540, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:14:24, Сколько времени использовался: 00:00:03.7656250
ID: 13396, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:15:45, Сколько времени использовался: 00:00:00.1406250
ID: 13716, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:15:46, Сколько времени использовался: 00:00:03.3906250
ID: 11260, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:16:45, Сколько времени использовался: 00:00:35.2968750
ID: 3276, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:19:53, Сколько времени использовался: 00:00:26.4375000
ID: 13432, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 15:12:22, Сколько времени использовался: 00:00:04.1406250
ID: 17428, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 16:59:24, Сколько времени использовался: 00:00:00.3125000
ID: 17596, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 16:59:24, Сколько времени использовался: 00:00:08.0468750
ID: 18504, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 17:11:06, Сколько времени использовался: 00:00:00.2187500
ID: 14324, Имя: svchost, Приоритет: 8, Время начала: 07.01.2025 19:10:46, Сколько времени использовался: 00:00:00.0468750
ID: 14980, Имя: QHActiveDefense, Приоритет: 8, Время начала: 07.01.2025 22:36:54, Сколько времени использовался: 00:13:36.7500000
ID: 15048, Имя: QHWatchdog, Приоритет: 8, Время начала: 07.01.2025 22:36:55, Сколько времени использовался: 00:00:02.6875000
ID: 8768, Имя: svchost, Приоритет: 8, Время начала: 08.01.2025 2:39:00, Сколько времени использовался: 00:00:00.0468750
ID: 14712, Имя: svchost, Приоритет: 8, Время начала: 11.01.2025 23:53:00, Сколько времени использовался: 00:00:00.1250000
ID: 15224, Имя: dasHost, Приоритет: 8, Время начала: 12.01.2025 1:31:06, Сколько времени использовался: 00:00:00.0468750
ID: 35296, Имя: svchost, Приоритет: 8, Время начала: 15.01.2025 19:14:03, Сколько времени использовался: 00:00:00.1875000
